CommitID,CommitDate,QualityCriteria,PercentagePassed
fb8f16d8bc20e671c8133a9ea997aba82bd90169,2023-10-06T08:43:37Z,Description for QC.Met,0%
fb8f16d8bc20e671c8133a9ea997aba82bd90169,2023-10-06T08:43:37Z,Description for QC.Acc,100%
fb8f16d8bc20e671c8133a9ea997aba82bd90169,2023-10-06T08:43:37Z,Description for QC.Doc,80%
fb8f16d8bc20e671c8133a9ea997aba82bd90169,2023-10-06T08:43:37Z,Description for QC.Lic,100%
fb8f16d8bc20e671c8133a9ea997aba82bd90169,2023-10-06T08:43:37Z,Description for QC.Sec,0%
fb8f16d8bc20e671c8133a9ea997aba82bd90169,2023-10-06T08:43:37Z,Description for QC.Sty,0%
fb8f16d8bc20e671c8133a9ea997aba82bd90169,2023-10-06T08:43:37Z,Description for QC.Ver,33%
a7ae0fef4995b1b5b3ca0f29eddb97703dd79151,2023-10-23T09:09:58Z,Description for QC.Acc,100%
a7ae0fef4995b1b5b3ca0f29eddb97703dd79151,2023-10-23T09:09:58Z,Description for QC.Doc,80%
a7ae0fef4995b1b5b3ca0f29eddb97703dd79151,2023-10-23T09:09:58Z,Description for QC.Ver,33%
a7ae0fef4995b1b5b3ca0f29eddb97703dd79151,2023-10-23T09:09:58Z,Description for QC.Met,0%
a7ae0fef4995b1b5b3ca0f29eddb97703dd79151,2023-10-23T09:09:58Z,Description for QC.Lic,100%
a7ae0fef4995b1b5b3ca0f29eddb97703dd79151,2023-10-23T09:09:58Z,Description for QC.Sec,0%
a7ae0fef4995b1b5b3ca0f29eddb97703dd79151,2023-10-23T09:09:58Z,Description for QC.Sty,0%
cca520bd8c4e9c7923dd00a9c906b2235fdf132a,2023-10-24T13:10:06Z,Description for QC.Sty,0%
cca520bd8c4e9c7923dd00a9c906b2235fdf132a,2023-10-24T13:10:06Z,Description for QC.Acc,100%
cca520bd8c4e9c7923dd00a9c906b2235fdf132a,2023-10-24T13:10:06Z,Description for QC.Doc,80%
cca520bd8c4e9c7923dd00a9c906b2235fdf132a,2023-10-24T13:10:06Z,Description for QC.Ver,33%
cca520bd8c4e9c7923dd00a9c906b2235fdf132a,2023-10-24T13:10:06Z,Description for QC.Lic,100%
cca520bd8c4e9c7923dd00a9c906b2235fdf132a,2023-10-24T13:10:06Z,Description for QC.Sec,0%
cca520bd8c4e9c7923dd00a9c906b2235fdf132a,2023-10-24T13:10:06Z,Description for QC.Met,0%
f497aa17c3f2685c25d032df14ad1677d5cf24a5,2023-10-25T06:49:30Z,Description for QC.Sty,0%
f497aa17c3f2685c25d032df14ad1677d5cf24a5,2023-10-25T06:49:30Z,Description for QC.Ver,33%
f497aa17c3f2685c25d032df14ad1677d5cf24a5,2023-10-25T06:49:30Z,Description for QC.Met,0%
f497aa17c3f2685c25d032df14ad1677d5cf24a5,2023-10-25T06:49:30Z,Description for QC.Lic,100%
f497aa17c3f2685c25d032df14ad1677d5cf24a5,2023-10-25T06:49:30Z,Description for QC.Acc,100%
f497aa17c3f2685c25d032df14ad1677d5cf24a5,2023-10-25T06:49:30Z,Description for QC.Doc,80%
f497aa17c3f2685c25d032df14ad1677d5cf24a5,2023-10-25T06:49:30Z,Description for QC.Sec,0%
151e2a27964b81c9ed68d69305a446dceba2f133,2023-10-27T14:44:55Z,Description for QC.Acc,100%
151e2a27964b81c9ed68d69305a446dceba2f133,2023-10-27T14:44:55Z,Description for QC.Doc,80%
151e2a27964b81c9ed68d69305a446dceba2f133,2023-10-27T14:44:55Z,Description for QC.Lic,100%
151e2a27964b81c9ed68d69305a446dceba2f133,2023-10-27T14:44:55Z,Description for QC.Sec,0%
151e2a27964b81c9ed68d69305a446dceba2f133,2023-10-27T14:44:55Z,Description for QC.Sty,0%
151e2a27964b81c9ed68d69305a446dceba2f133,2023-10-27T14:44:55Z,Description for QC.Ver,33%
151e2a27964b81c9ed68d69305a446dceba2f133,2023-10-27T14:44:55Z,Description for QC.Met,0%
4f8fb9e9e1d5290b3724e2ac47f9c4ffe4b3b3f6,2023-10-27T14:44:55Z,Description for QC.Acc,100%
4f8fb9e9e1d5290b3724e2ac47f9c4ffe4b3b3f6,2023-10-27T14:44:55Z,Description for QC.Doc,80%
4f8fb9e9e1d5290b3724e2ac47f9c4ffe4b3b3f6,2023-10-27T14:44:55Z,Description for QC.Lic,100%
4f8fb9e9e1d5290b3724e2ac47f9c4ffe4b3b3f6,2023-10-27T14:44:55Z,Description for QC.Sec,0%
4f8fb9e9e1d5290b3724e2ac47f9c4ffe4b3b3f6,2023-10-27T14:44:55Z,Description for QC.Sty,0%
4f8fb9e9e1d5290b3724e2ac47f9c4ffe4b3b3f6,2023-10-27T14:44:55Z,Description for QC.Ver,33%
4f8fb9e9e1d5290b3724e2ac47f9c4ffe4b3b3f6,2023-10-27T14:44:55Z,Description for QC.Met,0%
731557bd31dbb42dd49e27121d0bd22fabca4764,2023-10-27T14:44:55Z,Description for QC.Lic,100%
731557bd31dbb42dd49e27121d0bd22fabca4764,2023-10-27T14:44:55Z,Description for QC.Sec,0%
731557bd31dbb42dd49e27121d0bd22fabca4764,2023-10-27T14:44:55Z,Description for QC.Ver,33%
731557bd31dbb42dd49e27121d0bd22fabca4764,2023-10-27T14:44:55Z,Description for QC.Met,0%
731557bd31dbb42dd49e27121d0bd22fabca4764,2023-10-27T14:44:55Z,Description for QC.Acc,100%
731557bd31dbb42dd49e27121d0bd22fabca4764,2023-10-27T14:44:55Z,Description for QC.Sty,0%
